description,category
swiggy dinner,Food
zomato lunch,Food
pizza restaurant,Food
coffee cafe,Food
grocery supermarket,Food
restaurant biryani,Food
uber ride,Transport
ola cab,Transport
metro ticket,Transport
bus pass,Transport
petrol fuel,Transport
train ticket,Transport
amazon shoes,Shopping
clothes shopping,Shopping
flipkart electronics,Shopping
mall purchase,Shopping
online shopping,Shopping
new shirt,Shopping
electricity bill,Bills
water bill,Bills
internet bill,Bills
mobile recharge,Bills
rent payment,Bills
gas bill,Bills
netflix subscription,Entertainment
movie tickets,Entertainment
concert ticket,Entertainment
video game,Entertainment
spotify subscription,Entertainment
doctor visit,Health
medicine pharmacy,Health
hospital bill,Health
health checkup,Health
dental treatment,Health
college fees,Education
online course,Education
textbook purchase,Education
exam fee,Education
tuition fees,Education
miscellaneous expense,Other
gift purchase,Other
bank charge,Other
service payment,Other
